reply,label
"Not intrested right now",NEGATIVE
"Lets schdule demo next week",positive
"Can u send product roadmap?",neutral
"Dont need solution",Negative
"Id love to see demo!",POSITIVE
"Send pricing guide plz",neutral
"Isnt priority now",negative
"This looks great, lets talk!",positive
"Can u share demo video?",neutral
"Not open to vendors",NEGATIVE
"Im excited about oppurtunity!",positive
"Plz send contract terms",neutral
"No intrest in product",Negative
"Lets discuss how benefits!",POSITIVE
"Can u provide trial account?",neutral
"Doesnt fit strategy",negative
"This could be game-changer, schedule!",positive
"Send feature list plz",neutral
"Not looking for tools",NEGATIVE
"Id love to explore further!",positive
"Can u share support terms?",neutral
"Dont need this moment",Negative
"This sounds fantastic, connect!",POSITIVE
"Plz provide pricing breakdown",neutral
"Not good fit for us",negative
"Lets set up call!",positive
"Can u send technical guide?",neutral
"Were not pursuing",NEGATIVE
"Im eager to see in action!",positive
"Send demo link plz",neutral
"Not relevant to team",Negative
"This could streamline, discuss!",POSITIVE
"Can u provide feature comparison?",neutral
"No need in workflow",negative
"Id love to discuss w/ team!",positive
"Plz share cost structure",neutral
"Not intrested in service",NEGATIVE
"This looks promising, schdule demo!",positive
"Can u send product specs?",neutral
"Were happy w/ setup",Negative
"Im excited to review!",POSITIVE
"Send implementation guide plz",neutral
"Doesnt meet requirements",negative
"Lets discuss in meeting!",positive
"Can u provide pricing guide?",neutral
"Not open to solutions",NEGATIVE
"Id love to see how works!",positive
"Plz share support plan",neutral
"No intrest right now",negative
"This could be perfect, send proposal!",POSITIVE
"Can u send feature list?",neutral
"Not fit for needs",Negative
"Im eager to learn more!",positive
"Send demo video plz",neutral
"Were not in market",NEGATIVE
"This sounds great, lets connect!",positive
"Can u provide trial link?",neutral
"Doesnt align w/ goals",negative
"Lets schdule product overview!",POSITIVE
"Plz send pricing structure",neutral
"No need for this",Negative
"Id love to explore solution!",POSITIVE
"Can u share cost breakdown?",neutral
"Not intrested in product",negative
"This could streamline, talk!",positive
"Send feature comparison plz",neutral
"Were not pursuing",NEGATIVE
"Im excited, schdule call!",positive
"Can u provide case study?",neutral
"Not good fit for team",Negative
"Lets set up demo!",POSITIVE
"Plz send technical specs",neutral
"Dont need service",negative
"Id love to see in action!",positive
"Can u share pricing tiers?",neutral
"Not relevant to ops",NEGATIVE
"This looks great, send details!",positive
"Send support terms plz",neutral
"Were happy w/ provider",Negative
"Im eager to discuss!",POSITIVE
"Can u provide demo link?",neutral
"Not intrested in offer",negative
"Lets discuss how integrates!",positive
"Plz share feature roadmap",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u send cost structure?",neutral
"Doesnt fit strategy",negative
"This could be game-changer, connect!",POSITIVE
"Send implementation guide plz",neutral
"Not open to vendors",Negative
"Im excited to explore!",positive
"Can u provide pricing breakdown?",neutral
"No intrest in product",NEGATIVE
"Lets schdule product walkthrough!",positive
"Plz send feature list",neutral
"Not looking for tools",negative
"Id love to learn more!",POSITIVE
"Can u share demo video?",neutral
"Doesnt meet needs",Negative
"This sounds fantastic, schedule!",positive
"Send pricing guide plz",neutral
"No need in workflow",NEGATIVE
"Im eager to see demo!",positive
"Can u provide trial account?",neutral
"Not fit for team",negative
"Lets discuss in meeting!",POSITIVE
"Plz share support plan",neutral
"Were not pursuing",Negative
"Id love to see how works!",positive
"Can u send technical guide?",neutral
"Not intrested right now",NEGATIVE
"This could streamline, send proposal!",positive
"Send feature comparison plz",neutral
"No need for this",Negative
"Im excited about oppurtunity!",POSITIVE
"Can u provide case study?",neutral
"Not open to solutions",negative
"Lets set up call!",positive
"Plz send pricing structure",neutral
"Doesnt align w/ goals",NEGATIVE
"Id love to explore further!",positive
"Can u share cost breakdown?",neutral
"Not good fit for us",negative
"This looks promising, connect!",POSITIVE
"Send demo link plz",neutral
"No intrest in service",Negative
"Im eager to review!",positive
"Can u provide feature list?",neutral
"Were happy w/ setup",NEGATIVE
"Lets schdule demo next week!",positive
"Plz send support terms",neutral
"Not relevant to team",negative
"Id love to discuss w/ team!",POSITIVE
"Can u share pricing guide?",neutral
"No need for solution",Negative
"This could be perfect, send details!",positive
"Send technical specs plz",neutral
"Not intrested in product",NEGATIVE
"Im excited to see in action!",positive
"Can u provide demo video?",neutral
"Doesnt meet requirements",negative
"Lets discuss how integrates!",POSITIVE
"Plz send feature roadmap",neutral
"No need in workflow",Negative
"Id love to learn more!",positive
"Can u share cost structure?",neutral
"Not open to vendors",NEGATIVE
"This sounds great, schdule call!",positive
"Send implementation guide plz",neutral
"Not fit for needs",negative
"Im eager to explore solution!",POSITIVE
"Can u provide pricing breakdown?",neutral
"No intrest right now",negative
"Lets set up product overview!",positive
"Plz share support plan",neutral
"Were not pursuing",NEGATIVE
"Id love to see demo!",positive
"Can u send feature comparison?",neutral
"Not good fit for team",Negative
"This could streamline, connect!",POSITIVE
"Send pricing tiers plz",neutral
"No need for this",negative
"Im excited, send proposal!",POSITIVE
"Can u provide case study?",neutral
"Not intrested in offer",Negative
"Lets discuss in meeting!",positive
"Plz send demo link",neutral
"Were happy w/ provider",NEGATIVE
"Id love to review w/ team!",positive
"Can u share technical guide?",neutral
"Not relevant to ops",negative
"This looks great, schedule!",POSITIVE
"Send feature list plz",neutral
"No need for solution",Negative
"Im eager to learn more!",positive
"Can u provide pricing structure?",neutral
"Doesnt align w/ goals",NEGATIVE
"Lets schdule product walkthrough!",positive
"Plz send support terms",neutral
"Not open to vendors",negative
"Id love to see in action!",POSITIVE
"Can u share cost breakdown?",neutral
"No intrest in product",Negative
"This could be game-changer, talk!",positive
"Send demo video plz",neutral
"Not fit for strategy",NEGATIVE
"Im excited to explore!",positive
"Can u provide feature roadmap?",neutral
"No need in workflow",negative
"Lets set up call!",POSITIVE
"Plz send pricing guide",neutral
"Not intrested right now",Negative
"Id love to discuss further!",positive
"Can u share trial account?",neutral
"Were not pursuing",NEGATIVE
"This sounds fantastic, connect!",positive
"Send technical specs plz",neutral
"No need for this",Negative
"Im eager to see demo!",POSITIVE
"Can u provide demo link?",neutral
"Not good fit for us",negative
"Lets discuss how integrates!",positive
"Plz share feature comparison",neutral
"No intrest in service",NEGATIVE
"Id love to learn more!",positive
"Can u send cost structure?",neutral
"Doesnt meet requirements",negative
"This could streamline, send proposal!",POSITIVE
"Send pricing breakdown plz",neutral
"Not open to solutions",Negative
"Im excited about oppurtunity!",positive
"Can u provide case study?",neutral
"No need for solution",NEGATIVE
"Lets schdule demo next week!",positive
"Plz send support plan",neutral
"Not fit for team",negative
"Id love to see in action!",POSITIVE
"Can u share feature list?",neutral
"Were happy w/ setup",Negative
"This looks great, connect!",positive
"Can u provide demo video?",neutral
"Not intrested in product",NEGATIVE
"Im eager to review!",positive
"Plz send technical guide",neutral
"No need in workflow",negative
"Lets discuss in meeting!",POSITIVE
"Send pricing structure plz",neutral
"Not open to vendors",Negative
"Id love to explore solution!",positive
"Can u share cost breakdown?",neutral
"No intrest right now",NEGATIVE
"This could be perfect, talk!",positive
"Plz send feature roadmap",neutral
"Doesnt align w/ goals",negative
"Im excited to see demo!",POSITIVE
"Can u provide trial account?",neutral
"Not good fit for us",Negative
"Lets set up product overview!",positive
"Send demo link plz",neutral
"No need for this",NEGATIVE
"Id love to learn more!",positive
"Can u share pricing guide?",neutral
"Not intrested in offer",negative
"This sounds great, schdule call!",POSITIVE
"Plz send support terms",neutral
"Were not pursuing",Negative
"Im eager to discuss!",positive
"Can u provide feature comparison?",neutral
"Not fit for strategy",NEGATIVE
"This could streamline, connect!",positive
"Send technical specs plz",neutral
"No need for solution",Negative
"Im excited to review w/ team!",POSITIVE
"Can u share cost structure?",neutral
"Not intrested in product",negative
"Lets discuss how integrates!",positive
"Plz send pricing breakdown",neutral
"No need in workflow",NEGATIVE
"Id love to see in action!",positive
"Can u provide demo video?",neutral
"Not open to vendors",negative
"This looks great, send proposal!",POSITIVE
"Send feature list plz",neutral
"No intrest right now",Negative
"Im eager to explore!",positive
"Can u share trial account?",neutral
"Doesnt meet requirements",NEGATIVE
"Lets schdule demo next week!",positive
"Plz send pricing structure",neutral
"Not good fit for team",negative
"Id love to learn more!",POSITIVE
"Can u provide case study?",neutral
"Were happy w/ setup",Negative
"This could be perfect, connect!",positive
"Send demo link plz",neutral
"No need for this",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u share feature roadmap?",neutral
"Not intrested in service",negative
"Lets discuss in meeting!",POSITIVE
"Plz send technical guide",neutral
"No need for solution",Negative
"Id love to see demo!",positive
"Can u provide pricing guide?",neutral
"Not fit for strategy",NEGATIVE
"This sounds great, schdule call!",positive
"Send support terms plz",neutral
"No intrest in product",negative
"Im eager to review!",POSITIVE
"Can u share cost breakdown?",neutral
"Not open to vendors",Negative
"Lets set up product overview!",positive
"Plz send feature comparison",neutral
"No need in workflow",NEGATIVE
"Id love to explore solution!",positive
"Can u provide demo video?",neutral
"Not good fit for us",negative
"This could streamline, talk!",POSITIVE
"Send pricing breakdown plz",neutral
"No intrest right now",Negative
"Im excited to see in action!",positive
"Can u share trial account?",neutral
"Doesnt meet requirements",NEGATIVE
"Lets discuss how integrates!",positive
"Plz send feature list",neutral
"No need for this",Negative
"Id love to learn more!",POSITIVE
"Can u provide case study?",neutral
"Not intrested in offer",negative
"This looks great, connect!",POSITIVE
"Send demo link plz",neutral
"Were happy w/ setup",Negative
"Im eager to discuss!",positive
"Can u share pricing structure?",neutral
"Not fit for team",NEGATIVE
"Lets schdule demo next week!",positive
"Plz send support plan",neutral
"No need for solution",negative
"Id love to see demo!",POSITIVE
"Can u provide feature roadmap?",neutral
"Not intrested in product",Negative
"This could be perfect, send proposal!",positive
"Send technical specs plz",neutral
"No need in workflow",NEGATIVE
"Im excited to explore!",positive
"Can u share cost breakdown?",neutral
"Not open to vendors",negative
"Lets discuss in meeting!",POSITIVE
"Plz send pricing guide",neutral
"No intrest right now",Negative
"Id love to review w/ team!",positive
"Can u provide demo video?",neutral
"Doesnt meet requirements",NEGATIVE
"This sounds great, schdule call!",positive
"Send feature comparison plz",neutral
"No need for this",Negative
"Im eager to learn more!",POSITIVE
"Can u share trial account?",neutral
"Not good fit for us",negative
"Lets set up product overview!",positive
"Plz send pricing structure",neutral
"Not intrested in service",NEGATIVE
"Id love to see in action!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",Negative
"This could streamline, connect!",POSITIVE
"Send demo link plz",neutral
"No need for solution",negative
"Im excited about oppurtunity!",positive
"Can u share feature list?",neutral
"Not fit for strategy",NEGATIVE
"Lets discuss how integrates!",positive
"Plz send technical guide",neutral
"No intrest in product",Negative
"Id love to explore solution!",POSITIVE
"Can u provide pricing breakdown?",neutral
"No need in workflow",NEGATIVE
"This looks great, send proposal!",positive
"Send support terms plz",neutral
"Not open to vendors",negative
"Im eager to review!",POSITIVE
"Can u share cost structure?",neutral
"Not intrest right now",Negative
"Lets schdule demo next week!",positive
"Plz send feature roadmap",neutral
"No need for this",NEGATIVE
"Id love to see demo!",positive
"Can u provide demo video?",neutral
"Not good fit for team",Negative
"This could be perfect, connect!",POSITIVE
"Send pricing guide plz",neutral
"No intrested in offer",NEGATIVE
"Im excited to learn more!",positive
"Can u share trial account?",neutral
"Doesnt meet requirements",negative
"Lets discuss in meeting!",POSITIVE
"Plz send feature comparison",neutral
"No need for solution",Negative
"Id love to see in action!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",NEGATIVE
"This sounds great, schdule call!",positive
"Send demo link plz",neutral
"No intrest in product",negative
"Im eager to explore!",POSITIVE
"Can u share pricing structure?",neutral
"Not fit for strategy",Negative
"Lets set up product overview!",positive
"Plz send technical guide",neutral
"No need in workflow",NEGATIVE
"Id love to review w/ team!",positive
"Can u provide feature list?",neutral
"Not open to vendors",negative
"This could streamline, talk!",POSITIVE
"Send pricing breakdown plz",neutral
"No intrest right now",Negative
"Im excited about oppurtunity!",positive
"Can u share cost structure?",neutral
"Not good fit for us",NEGATIVE
"Lets discuss how integrates!",positive
"Plz send support plan",neutral
"No need for this",Negative
"Id love to see demo!",POSITIVE
"Can u provide demo video?",neutral
"Not intrested in service",negative
"This looks great, connect!",POSITIVE
"Send feature roadmap plz",neutral
"No need for solution",NEGATIVE
"Im eager to learn more!",positive
"Can u provide trial account?",neutral
"Doesnt meet requirements",negative
"Lets schdule demo next week!",POSITIVE
"Plz send pricing guide",neutral
"Not fit for team",Negative
"Id love to explore solution!",positive
"Can u share case study?",neutral
"Were happy w/ setup",NEGATIVE
"This could be perfect, send proposal!",positive
"Send demo link plz",neutral
"No intrest in product",Negative
"Im excited to see in action!",POSITIVE
"Can u provide pricing structure?",neutral
"Not open to vendors",negative
"Lets discuss in meeting!",positive
"Plz send feature comparison",neutral
"No need in workflow",NEGATIVE
"Id love to review w/ team!",positive
"Can u share cost breakdown?",neutral
"Not intrest right now",Negative
"This sounds great, schdule call!",POSITIVE
"Send technical guide plz",neutral
"No need for this",Negative
"Im eager to explore!",positive
"Can u provide feature list?",neutral
"Not good fit for us",NEGATIVE
"Lets set up product overview!",positive
"Plz send pricing breakdown",neutral
"Not intrested in service",negative
"Id love to learn more!",POSITIVE
"Can u share demo video?",neutral
"Doesnt meet requirements",Negative
"This could streamline, connect!",positive
"Send support terms plz",neutral
"No need for solution",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide case study?",neutral
"Not fit for strategy",negative
"Lets discuss how integrates!",POSITIVE
"Plz send feature roadmap",neutral
"No intrest in product",Negative
"Id love to see demo!",positive
"Can u share pricing guide?",neutral
"Were happy w/ setup",NEGATIVE
"This looks great, send proposal!",positive
"Send demo link plz",neutral
"No need in workflow",NEGATIVE
"Im eager to review!",positive
"Can u provide trial account?",neutral
"Not open to vendors",negative
"Lets schdule demo next week!",POSITIVE
"Plz send cost structure",neutral
"No intrest right now",Negative
"Id love to explore solution!",positive
"Can u share feature comparison?",neutral
"Doesnt meet requirements",NEGATIVE
"This could be perfect, connect!",positive
"Send pricing structure plz",neutral
"No need for this",Negative
"Im excited to see in action!",POSITIVE
"Can u provide demo video?",neutral
"Not good fit for team",negative
"Lets discuss in meeting!",positive
"Plz send technical guide",neutral
"No intrested in service",NEGATIVE
"Id love to learn more!",positive
"Can u share pricing breakdown?",neutral
"Not fit for strategy",Negative
"This sounds great, schdule call!",POSITIVE
"Send feature list plz",neutral
"No need for solution",NEGATIVE
"Im eager to explore!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",Negative
"This could streamline, talk!",POSITIVE
"Plz send support plan",neutral
"No intrest in product",negative
"Id love to see demo!",POSITIVE
"Can u share cost structure?",neutral
"Not open to vendors",NEGATIVE
"Lets set up product overview!",positive
"Plz send feature roadmap",neutral
"No need in workflow",Negative
"Im excited about oppurtunity!",POSITIVE
"Can u provide trial account?",neutral
"Doesnt meet requirements",negative
"Lets discuss how integrates!",positive
"Send demo link plz",neutral
"No intrest right now",NEGATIVE
"Id love to review w/ team!",positive
"Can u share pricing guide?",neutral
"Not good fit for us",negative
"This could be perfect, send proposal!",POSITIVE
"Plz send technical specs",neutral
"No need for this",Negative
"Im eager to learn more!",positive
"Can u provide feature comparison?",neutral
"Not intrested in service",NEGATIVE
"Lets schdule demo next week!",positive
"Send pricing breakdown plz",neutral
"No need for solution",Negative
"Id love to see in action!",POSITIVE
"Can u share demo video?",neutral
"Not fit for strategy",negative
"This sounds great, connect!",POSITIVE
"Plz send support terms",neutral
"No intrest in product",NEGATIVE
"Im excited to explore!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",Negative
"Lets discuss in meeting!",POSITIVE
"Send feature list plz",neutral
"No need in workflow",NEGATIVE
"Id love to learn more!",positive
"Can u share cost structure?",neutral
"Not open to vendors",negative
"This could streamline, talk!",POSITIVE
"Plz send pricing structure",neutral
"No intrest right now",Negative
"Im eager to review!",positive
"Can u provide trial account?",neutral
"Doesnt meet requirements",NEGATIVE
"Lets set up product overview!",positive
"Send demo link plz",neutral
"No need for this",Negative
"Im excited about oppurtunity!",POSITIVE
"Can u share feature roadmap?",neutral
"Not good fit for team",negative
"Lets discuss how integrates!",POSITIVE
"Plz send technical guide",neutral
"No intrested in service",NEGATIVE
"Id love to see demo!",positive
"Can u provide pricing guide?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send pricing breakdown plz",neutral
"No need for solution",NEGATIVE
"Im eager to explore!",positive
"Can u share demo video?",neutral
"Not open to vendors",negative
"Lets schdule demo next week!",POSITIVE
"Plz send feature comparison",neutral
"No intrest in product",Negative
"Id love to learn more!",positive
"Can u provide case study?",neutral
"Were happy w/ setup",NEGATIVE
"This sounds great, send proposal!",positive
"Send support terms plz",neutral
"No need in workflow",Negative
"Im excited to see in action!",POSITIVE
"Can u share cost structure?",neutral
"Not intrest right now",negative
"Lets discuss in meeting!",positive
"Plz send feature list",neutral
"Doesnt meet requirements",NEGATIVE
"This could streamline, talk!",positive
"Send pricing structure plz",neutral
"No need for this",Negative
"Im eager to review!",POSITIVE
"Can u provide trial account?",neutral
"Not good fit for us",negative
"Lets set up product overview!",POSITIVE
"Plz send demo video",neutral
"No intrested in service",NEGATIVE
"Id love to explore solution!",positive
"Can u share feature roadmap?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send technical guide plz",neutral
"No need for solution",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide pricing breakdown?",neutral
"Not open to vendors",negative
"Lets discuss how integrates!",POSITIVE
"Plz send support plan",neutral
"No intrest in product",Negative
"Id love to see demo!",positive
"Can u share cost structure?",neutral
"Were happy w/ setup",NEGATIVE
"This sounds great, schdule call!",positive
"Send feature comparison plz",neutral
"No need in workflow",Negative
"Im eager to learn more!",POSITIVE
"Can u provide case study?",neutral
"Not intrest right now",negative
"Lets schdule demo next week!",POSITIVE
"Plz send pricing guide",neutral
"Doesnt meet requirements",Negative
"Id love to review w/ team!",positive
"Can u share demo link?",neutral
"Not good fit for team",NEGATIVE
"This could streamline, send proposal!",positive
"Send pricing structure plz",neutral
"No need for this",Negative
"Im excited to see in action!",POSITIVE
"Can u provide feature list?",neutral
"Not intrested in service",NEGATIVE
"Lets discuss in meeting!",positive
"Plz send technical specs",neutral
"No need for solution",Negative
"Id love to explore!",POSITIVE
"Can u share pricing breakdown?",neutral
"Not open to vendors",negative
"This could be perfect, connect!",POSITIVE
"Send demo video plz",neutral
"No intrest in product",NEGATIVE
"Im eager to review!",positive
"Can u provide support terms?",neutral
"Not fit for strategy",Negative
"Lets set up product overview!",POSITIVE
"Plz send feature roadmap",neutral
"No need in workflow",NEGATIVE
"Id love to learn more!",positive
"Can u share cost structure?",neutral
"Were happy w/ setup",Negative
"This sounds great, schdule call!",POSITIVE
"Send pricing guide plz",neutral
"No intrest right now",Negative
"Im excited about oppurtunity!",positive
"Can u provide trial account?",neutral
"Doesnt meet requirements",NEGATIVE
"Lets discuss how integrates!",positive
"Plz send feature comparison",neutral
"No need for this",Negative
"Id love to see demo!",POSITIVE
"Can u share case study?",neutral
"Not good fit for us",negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrested in service",NEGATIVE
"Im eager to explore!",positive
"Can u provide pricing structure?",neutral
"Not open to vendors",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send technical guide",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u share feature list?",neutral
"Not fit for strategy",Negative
"This could be perfect, send proposal!",POSITIVE
"Send pricing breakdown plz",neutral
"No intrest in product",NEGATIVE
"Im excited to see in action!",positive
"Can u provide demo video?",neutral
"Were happy w/ setup",Negative
"Lets discuss in meeting!",POSITIVE
"Plz send support terms",neutral
"No need in workflow",NEGATIVE
"Id love to learn more!",positive
"Can u share cost structure?",neutral
"Not intrest right now",Negative
"This sounds great, connect!",POSITIVE
"Send feature roadmap plz",neutral
"No need for this",NEGATIVE
"Im eager to explore!",positive
"Can u provide trial account?",neutral
"Not good fit for team",NEGATIVE
"Lets set up product overview!",positive
"Plz send pricing guide",neutral
"No intrested in service",NEGATIVE
"Id love to see demo!",positive
"Can u share case study?",neutral
"Not open to vendors",Negative
"This could streamline, talk!",POSITIVE
"Send demo link plz",neutral
"No intrest in product",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u provide pricing breakdown?",neutral
"Not fit for strategy",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send technical specs",neutral
"No need for solution",NEGATIVE
"Id love to review w/ team!",positive
"Can u share feature comparison?",neutral
"Were happy w/ setup",Negative
"This could be perfect, connect!",POSITIVE
"Send pricing structure plz",neutral
"No intrest right now",NEGATIVE
"Im eager to learn more!",positive
"Can u provide demo video?",neutral
"Not good fit for us",Negative
"Lets schdule demo next week!",POSITIVE
"Plz send support plan",neutral
"No need in workflow",NEGATIVE
"Id love to see in action!",positive
"Can u share cost structure?",neutral
"Not intrested in service",Negative
"This sounds great, send proposal!",POSITIVE
"Send feature list plz",neutral
"No need for this",NEGATIVE
"Im excited to explore!",positive
"Can u provide trial account?",neutral
"Not open to vendors",NEGATIVE
"Lets discuss in meeting!",positive
"Plz send pricing guide",neutral
"Not intrest in product",Negative
"Id love to learn more!",POSITIVE
"Can u share case study?",neutral
"Doesnt meet requirements",NEGATIVE
"This could streamline, talk!",positive
"Send demo link plz",neutral
"No need for solution",NEGATIVE
"Im eager to review!",positive
"Can u share feature roadmap?",neutral
"Not good fit for team",Negative
"Lets set up product overview!",POSITIVE
"Plz send technical guide",neutral
"No intrest right now",NEGATIVE
"Id love to see demo!",positive
"Can u provide pricing breakdown?",neutral
"Not fit for strategy",Negative
"This could be perfect, connect!",POSITIVE
"Send support terms plz",neutral
"No need in workflow",NEGATIVE
"Im excited about oppurtunity!",positive
"Can u share cost structure?",neutral
"Not open to vendors",Negative
"Lets discuss how integrates!",POSITIVE
"Plz send feature comparison",neutral
"No intrest in service",NEGATIVE
"Id love to explore!",positive
